timestamp,regime,regime_type
294,0,CALM_RANGING
295,0,CALM_RANGING
296,0,CALM_RANGING
297,0,CALM_RANGING
298,0,CALM_RANGING
299,0,CALM_RANGING
300,0,CALM_RANGING
301,0,CALM_RANGING
302,2,CALM_RANGING
303,0,CALM_RANGING
304,0,CALM_RANGING
305,2,CALM_RANGING
306,2,CALM_RANGING
307,2,CALM_RANGING
308,2,CALM_RANGING
309,2,CALM_RANGING
310,2,CALM_RANGING
311,2,CALM_RANGING
312,2,CALM_RANGING
313,2,CALM_RANGING
314,2,CALM_RANGING
315,0,CALM_RANGING
316,0,CALM_RANGING
317,0,CALM_RANGING
318,0,CALM_RANGING
319,0,CALM_RANGING
320,0,CALM_RANGING
321,0,CALM_RANGING
322,0,CALM_RANGING
323,0,CALM_RANGING
324,0,CALM_RANGING
325,0,CALM_RANGING
326,2,CALM_RANGING
327,2,CALM_RANGING
328,2,CALM_RANGING
329,2,CALM_RANGING
330,2,CALM_RANGING
331,2,CALM_RANGING
332,2,CALM_RANGING
333,2,CALM_RANGING
334,2,CALM_RANGING
335,2,CALM_RANGING
336,2,CALM_RANGING
337,2,CALM_RANGING
338,2,CALM_RANGING
339,2,CALM_RANGING
340,2,CALM_RANGING
341,2,CALM_RANGING
342,2,CALM_RANGING
343,2,CALM_RANGING
344,2,CALM_RANGING
345,2,CALM_RANGING
346,2,CALM_RANGING
347,2,CALM_RANGING
348,2,CALM_RANGING
349,2,CALM_RANGING
350,2,CALM_RANGING
351,2,CALM_RANGING
352,2,CALM_RANGING
353,2,CALM_RANGING
354,2,CALM_RANGING
355,2,CALM_RANGING
356,2,CALM_RANGING
357,2,CALM_RANGING
358,2,CALM_RANGING
359,2,CALM_RANGING
360,2,CALM_RANGING
361,2,CALM_RANGING
362,2,CALM_RANGING
363,2,CALM_RANGING
364,2,CALM_RANGING
365,2,CALM_RANGING
366,2,CALM_RANGING
367,2,CALM_RANGING
368,2,CALM_RANGING
369,2,CALM_RANGING
370,2,CALM_RANGING
371,2,CALM_RANGING
372,2,CALM_RANGING
373,2,CALM_RANGING
374,2,CALM_RANGING
375,0,CALM_RANGING
376,2,CALM_RANGING
377,2,CALM_RANGING
378,0,CALM_RANGING
379,0,CALM_RANGING
380,0,CALM_RANGING
381,0,CALM_RANGING
382,0,CALM_RANGING
383,0,CALM_RANGING
384,0,CALM_RANGING
385,0,CALM_RANGING
386,0,CALM_RANGING
387,0,CALM_RANGING
388,0,CALM_RANGING
389,2,CALM_RANGING
390,2,CALM_RANGING
391,2,CALM_RANGING
392,2,CALM_RANGING
393,2,CALM_RANGING
394,2,CALM_RANGING
395,2,CALM_RANGING
396,0,CALM_RANGING
397,0,CALM_RANGING
398,0,CALM_RANGING
399,0,CALM_RANGING
400,0,CALM_RANGING
401,0,CALM_RANGING
402,0,CALM_RANGING
403,0,CALM_RANGING
404,0,CALM_RANGING
405,0,CALM_RANGING
406,0,CALM_RANGING
407,0,CALM_RANGING
408,0,CALM_RANGING
409,0,CALM_RANGING
410,0,CALM_RANGING
411,0,CALM_RANGING
412,0,CALM_RANGING
413,0,CALM_RANGING
414,0,CALM_RANGING
415,0,CALM_RANGING
416,0,CALM_RANGING
417,0,CALM_RANGING
418,2,CALM_RANGING
419,2,CALM_RANGING
420,2,CALM_RANGING
421,2,CALM_RANGING
422,2,CALM_RANGING
423,2,CALM_RANGING
424,2,CALM_RANGING
425,2,CALM_RANGING
426,2,CALM_RANGING
427,2,CALM_RANGING
428,2,CALM_RANGING
429,2,CALM_RANGING
430,2,CALM_RANGING
431,2,CALM_RANGING
432,2,CALM_RANGING
433,2,CALM_RANGING
434,2,CALM_RANGING
435,0,CALM_RANGING
436,0,CALM_RANGING
437,0,CALM_RANGING
438,0,CALM_RANGING
439,0,CALM_RANGING
440,0,CALM_RANGING
441,0,CALM_RANGING
442,0,CALM_RANGING
443,0,CALM_RANGING
444,2,CALM_RANGING
445,2,CALM_RANGING
446,2,CALM_RANGING
447,2,CALM_RANGING
448,2,CALM_RANGING
449,2,CALM_RANGING
450,2,CALM_RANGING
451,2,CALM_RANGING
452,2,CALM_RANGING
453,2,CALM_RANGING
454,2,CALM_RANGING
455,2,CALM_RANGING
456,2,CALM_RANGING
457,0,CALM_RANGING
458,0,CALM_RANGING
459,0,CALM_RANGING
460,0,CALM_RANGING
461,0,CALM_RANGING
462,0,CALM_RANGING
463,0,CALM_RANGING
464,0,CALM_RANGING
465,0,CALM_RANGING
466,0,CALM_RANGING
467,0,CALM_RANGING
468,0,CALM_RANGING
469,0,CALM_RANGING
470,0,CALM_RANGING
471,0,CALM_RANGING
472,0,CALM_RANGING
473,0,CALM_RANGING
474,0,CALM_RANGING
475,0,CALM_RANGING
476,0,CALM_RANGING
477,0,CALM_RANGING
478,0,CALM_RANGING
479,0,CALM_RANGING
480,0,CALM_RANGING
481,0,CALM_RANGING
482,0,CALM_RANGING
483,0,CALM_RANGING
484,0,CALM_RANGING
485,0,CALM_RANGING
486,0,CALM_RANGING
487,0,CALM_RANGING
488,2,CALM_RANGING
489,2,CALM_RANGING
490,2,CALM_RANGING
491,2,CALM_RANGING
492,2,CALM_RANGING
493,2,CALM_RANGING
494,2,CALM_RANGING
495,2,CALM_RANGING
496,2,CALM_RANGING
497,2,CALM_RANGING
498,2,CALM_RANGING
499,2,CALM_RANGING
500,2,CALM_RANGING
501,2,CALM_RANGING
502,2,CALM_RANGING
503,2,CALM_RANGING
504,2,CALM_RANGING
505,2,CALM_RANGING
506,2,CALM_RANGING
507,2,CALM_RANGING
508,2,CALM_RANGING
509,2,CALM_RANGING
510,2,CALM_RANGING
511,2,CALM_RANGING
512,2,CALM_RANGING
513,2,CALM_RANGING
514,2,CALM_RANGING
515,2,CALM_RANGING
516,2,CALM_RANGING
517,2,CALM_RANGING
518,2,CALM_RANGING
519,2,CALM_RANGING
520,2,CALM_RANGING
521,2,CALM_RANGING
522,2,CALM_RANGING
523,2,CALM_RANGING
524,2,CALM_RANGING
525,2,CALM_RANGING
526,2,CALM_RANGING
527,2,CALM_RANGING
528,2,CALM_RANGING
529,2,CALM_RANGING
530,2,CALM_RANGING
531,0,CALM_RANGING
532,0,CALM_RANGING
